artist_name_limpo,total_musicas,total_streams
POLIMA WESTCOAST PAILITA,1,307752576
LATTO JUNG KOOK,1,141381703
PESO PLUMA YNG LVCAS,1,553634067
RAUW ALEJANDRO,2,1634602179
CALVIN HARRIS HALSEY PHARRELL WILLIAMS JUSTIN TIMBERLAKE,1,123473120
PESO PLUMA,2,425400058
XAM GUSTAH NEO B,1,240684449
TREYCE,1,70069745
OVY ON THE DRUMS QUEVEDO,1,209106362
DAVID GUETTA SHAKIRA BLACK EYED PEAS,1,240918092
JAIN,1,165484133
BRRAY RAUW ALEJANDRO LYANNO,1,471819764
LUCIANO,1,160035717
MEGHAN TRAINOR,1,502574952
MC CAVERINHA KAYBLACK,1,71573339
TAIU MILO J,1,248088961
BIZARRAP PESO PLUMA,1,200647221
BECKY G PESO PLUMA,1,161460990
AK420 CRIS MJ PAILITA,1,118381354
KAROL G QUEVEDO,1,93438910
CHENCHO CORLEONE RAUW ALEJANDRO,1,809306935
DJ ESCOBAR MC MENOR SG MC MENOR HR,1,174006928
DJ LK DA ESCCIA TCHAKABUM MC JHENNY M,1,116144341
50 CENT,1,1202722675
REX ORANGE COUNTY,1,244928911
CENTRAL CEE,2,780321205
DAVE CENTRAL CEE,1,183706234
KAROL G,4,1260876433
WIZKID TOIAN METRO BOOMIN DON TOLIVER BEAM,1,32761689
MC PEDRINHO DJ 900,1,11956641
LUSA SONZA MC FROG DJ GABRIEL DO BOREL DAVI K,1,176290831
CARTEL DE SANTA LA KELLY,1,162887075
DAVE,1,229473310
BING CROSBY JOHN SCOTT TROTTER  HIS ORCHESTRA KEN DARBY SINGERS,1,395591396
ANDY WILLIAMS,1,663832097
RIHANNA,1,297328960
JOHN LEGEND METRO BOOMIN,1,78139948
STEVE LACY,3,1945132459
STEPHEN SANCHEZ,1,726434358
EM BEIHOLD STEPHEN SANCHEZ,1,600976848
MICHAEL BUBL,2,1283806731
BILLIE EILISH KHALID,1,2355719893
NAT KING COLE,2,516799679
JVKE,2,1097262367
JOHN LEGEND,1,2086124197
V,1,317622165
LORD HURON,1,1410088830
DEAN MARTIN,1,446390129
MARLIA MENDONA GEORGE HENRIQUE ,1,263894529
CONAN GRAY,1,1301799902
VANCE JOY,1,2009094673
KENDRICK LAMAR BETH GIBBONS,1,33381454
KEISYA LEVRONKA,1,184807630
JOS FELIC,1,520034544
FRANK SINATRA,1,178660459
MUNI LONG,1,181328253
DAVID KUSHNER,2,511978174
ANGGI MARITO,1,179659294
LIZZY MCALPINE,1,293186992
ED SHEERAN TAYLOR SWIFT,1,146789379
MC XENON OS GEMEOS DA PUTARIA,1,93587665
